id,Disbursement Date,Loan Status,Written Off Or Repaid Date ,Loan Amount,Outstanding Balance,Outstanding Principal,Interest Rate,Loan Term (Months),Date of Birth,Gender,Province,Residential Status,Stated Income on application,"Qualified / Verified
Income",Aptitude for change Score,Financial Literacy Score,Self Assessments,Quiz Count,Mood Count,Inspiration Count,Total Activies ,Average total activities per month,Average activities per day,average_wellness_score,average_FICO,average_credit_utilisation
1702,2023-01-27,Active,,25000.0,32916.09,20608.5,0.2999,60,1963-12-01,MALE,ON,RENTER,110745,79800,5.0,0.0,19.0,161.0,18.0,12.0,210.0,11.2701,0.3757,51.6,619.8947368421053,0.8295815851700502
1705,2023-02-03,Written off,2024-05-30 21:14:45.357,9700.0,14554.31,8652.84,0.2999,55,1996-07-23,FEMALE,ON,LIVE WITH FAMILY,44802,44800,3.83,0.0,7.0,128.0,12.0,10.0,157.0,8.5326,0.2844,50.0,535.0,0.966204081632653
1713,2023-01-27,Active,,14400.0,19207.94,11968.43,0.2999,60,1981-03-18,MALE,ON,RENTER,112802,115800,2.17,0.0,3.0,24.0,3.0,2.0,32.0,1.7174,0.0572,40.75,628.3157894736842,0.9046851702584885
1717,2023-02-02,Active,,20000.0,26699.05,16636.34,0.2999,60,1967-11-24,MALE,ON,RENTER,60320,60300,3.33,0.0,18.0,149.0,65.0,20.0,252.0,13.6462,0.4549,64.11111111111111,721.4117647058823,0.1870627282659545
1722,2023-02-01,Active,,23000.0,30070.89,19040.94,0.2799,60,1976-05-26,MALE,ON,RENTER,65320,605300,3.67,0.0,15.0,81.0,16.0,13.0,125.0,6.7812,0.226,46.6,699.8823529411765,0.7846990196078432
1746,2023-02-14,Repaid,2023-03-15 13:22:11.563,6200.0,0.0,0.0,0.2999,60,2000-12-31,MALE,ON,RENTER,37398,37500,3.67,1.0,1.0,8.0,2.0,3.0,14.0,0.7763,0.0259,48.0,,
1759,2023-02-13,Written off,2023-06-25 20:25:21.023,16000.0,28921.3,15548.74,0.2999,60,1991-07-30,FEMALE,ON,RENTER,58000,58000,3.33,0.0,2.0,29.0,1.0,3.0,35.0,1.9373,0.0646,31.0,649.3333333333334,0.8250763852165227
1777,2023-03-03,Written off,2023-06-25 20:26:17.750,15000.0,27571.21,14730.96,0.2999,60,1991-07-23,MALE,ON,RENTER,63700,63700,4.67,2.0,3.0,28.0,8.0,7.0,46.0,2.6336,0.0878,52.0,651.0,0.47179602226580303
1787,2023-03-06,Active,,25000.0,3127.48,1912.03,0.2999,60,1976-12-08,FEMALE,ON,HOME OWNER,112755,86800,4.0,4.0,14.0,104.0,12.0,11.0,141.0,8.119,0.2706,57.23076923076923,657.9375,0.9027552673627995
1804,2023-02-23,Active,,10000.0,13400.84,8310.33,0.2999,60,1986-12-07,FEMALE,ON,LIVE WITH FAMILY,51000,51000,3.33,4.0,16.0,139.0,3.0,10.0,168.0,9.4737,0.3158,47.25,583.875,0.7236690239134913
1820,2023-02-23,Repaid,2024-04-04 17:00:45.270,10000.0,0.0,0.0,0.2999,60,1987-04-10,MALE,ON,RENTER,100000,95000,2.5,4.0,14.0,116.0,29.0,11.0,170.0,9.5865,0.3195,55.07142857142857,614.5384615384615,0.6778664222845906
1831,2023-02-28,Active,,20000.0,27343.09,16876.2,0.2999,60,1979-08-11,FEMALE,ON,RENTER,120000,120000,4.5,4.0,10.0,59.0,1.0,0.0,70.0,3.9848,0.1328,57.2,646.0,0.35908214285714285
1865,2023-03-20,Past due,,15365.0,22306.04,13346.55,0.2999,60,1995-08-01,MALE,AB,RENTER,89500,89500,2.83,1.0,8.0,76.0,4.0,3.0,91.0,5.3846,0.1795,58.125,609.2352941176471,0.6300555059501761
1916,2023-03-10,Active,,15000.0,20341.22,12554.36,0.2999,51,1977-01-18,MALE,ON,RENTER,54310,54300,4.0,3.0,17.0,141.0,76.0,42.0,276.0,16.0155,0.5338,41.333333333333336,615.1764705882352,0.6718472615620444
1937,2023-03-14,Active,,17500.0,24083.75,14657.81,0.2999,60,1989-04-07,MALE,ON,RENTER,160000,160000,3.83,4.0,11.0,14.0,0.0,0.0,25.0,1.462,0.0487,78.16666666666667,625.6470588235294,0.36228860028860027
1944,2023-03-15,Active,,12400.0,15814.24,10222.89,0.2599,60,1978-11-11,FEMALE,AB,RENTER,59781,48000,4.17,2.0,17.0,127.0,1.0,1.0,146.0,8.5547,0.2852,68.55555555555556,658.0588235294117,0.3120463898607371
1954,2023-03-21,Active,,6000.0,7641.41,4981.43,0.2599,60,1985-01-12,MALE,ON,HOME OWNER,101659,71500,3.17,3.0,15.0,119.0,5.0,4.0,143.0,8.4783,0.2826,48.733333333333334,682.0588235294117,0.5648552792451513
1957,2023-03-13,Active,,14600.0,17980.91,11045.13,0.2999,60,1995-05-11,FEMALE,BC,RENTER,55000,55000,3.33,3.0,17.0,150.0,0.0,0.0,167.0,9.7471,0.3249,56.72222222222222,588.3529411764706,0.6923921119262383
1995,2023-03-31,Active,,11200.0,14742.95,9426.78,0.2699,60,1962-08-13,MALE,ON,HOME OWNER,101606,104000,3.67,5.0,5.0,3.0,0.0,0.0,8.0,0.4839,0.0161,61.2,569.0,0.5395364962880353
11011,2023-03-16,Active,,15500.0,22002.91,13325.21,0.2999,57,1979-07-09,MALE,ON,RENTER,66500,66500,2.33,4.0,10.0,141.0,0.0,0.0,151.0,8.865,0.2955,42.63636363636363,546.8823529411765,0.9973731836110696
11020,2023-05-03,Past due,,25000.0,35798.82,21812.85,0.2799,60,1962-09-05,FEMALE,AB,HOME OWNER,103045,103000,1.5,2.0,0.0,1.0,0.0,0.0,1.0,0.0648,0.0022,,632.5,0.8100855457800286
11036,2023-03-20,Active,,12000.0,16589.79,10303.81,0.2799,48,1962-08-06,FEMALE,ON,LIVE WITH FAMILY,89285,89300,2.33,4.0,17.0,142.0,110.0,50.0,319.0,18.8757,0.6292,49.22222222222222,634.1764705882352,0.9959752567693744
11154,2023-04-06,Written off,2024-07-20 20:12:57.480,3000.0,4665.55,2754.73,0.2999,48,1993-03-31,MALE,AB,RENTER,40000,40000,4.0,4.0,3.0,2.0,0.0,0.0,5.0,0.3061,0.0102,42.333333333333336,526.3571428571429,1.016468253968254
11169,2023-04-06,Past due,,17750.0,28910.73,16799.78,0.2899,57,1972-04-05,MALE,MB,HOME OWNER,110000,110000,,,0.0,1.0,0.0,0.0,1.0,0.0612,0.002,,573.5,0.9043713662790698
11182,2023-04-14,Repaid,2024-05-10 11:03:24.647,22200.0,0.0,0.0,0.2999,39,1989-08-11,FEMALE,BC,RENTER,111840,85900,,,9.0,95.0,2.0,0.0,106.0,6.5975,0.2199,51.77777777777778,600.0,1.2047062937062938
11185,2023-04-11,Written off,2024-06-09 12:18:47.613,22675.0,38221.17,22375.97,0.2599,56,1964-06-25,MALE,ON,HOME OWNER,91953,91000,2.33,4.0,11.0,109.0,103.0,12.0,235.0,14.5361,0.4845,35.75,544.4166666666666,1.1313333771200702
11244,2023-04-18,Active,,13000.0,17877.07,11430.97,0.2499,58,1991-04-26,MALE,ON,HOME OWNER,70000,70000,4.67,4.0,16.0,131.0,0.0,0.0,147.0,9.2259,0.3075,49.88235294117647,613.5714285714286,0.5873050595238095
11247,2023-04-14,Active,,23000.0,32763.17,19656.39,0.2999,49,1990-04-05,MALE,BC,HOME OWNER,107600,106000,0.83,1.0,6.0,17.0,5.0,1.0,29.0,1.805,0.0602,52.714285714285715,619.7857142857143,0.9531428571428571
11248,2023-04-15,Active,,5900.0,8483.46,5113.57,0.2999,60,1977-03-02,FEMALE,AB,RENTER,61009,52000,3.83,4.0,7.0,57.0,10.0,1.0,75.0,4.6778,0.1559,52.625,641.4285714285714,0.38355042615057
11250,2023-05-11,Active,,9200.0,12919.94,7998.89,0.2699,60,1968-08-10,FEMALE,ON,RENTER,64703,64700,2.83,2.0,14.0,107.0,3.0,2.0,126.0,8.3077,0.2769,61.785714285714285,632.8571428571429,0.7481611208406305
11272,2023-04-17,Active,,15300.0,21468.31,13063.29,0.2999,60,1988-12-02,FEMALE,ON,LIVE WITH FAMILY,75000,70000,3.83,4.0,16.0,130.0,19.0,15.0,180.0,11.2735,0.3758,49.529411764705884,622.0714285714286,0.7429262284362694
11274,2023-04-19,Active,,11470.0,15498.69,9718.13,0.2799,60,1977-07-15,MALE,PEI,HOME OWNER,80000,77000,3.83,5.0,8.0,31.0,6.0,0.0,45.0,2.8302,0.0943,60.55555555555556,606.3571428571429,0.8054258145946126
11332,2023-04-18,Active,,23900.0,34221.75,20725.07,0.2999,50,1979-11-30,MALE,BC,RENTER,100000,90000,3.5,3.0,16.0,133.0,1.0,1.0,151.0,9.477,0.3159,59.5625,545.5,0.9020650539407365
11345,2023-04-24,Active,,12502.93,16155.78,10443.45,0.2599,60,1991-04-02,FEMALE,ON,LIVE WITH FAMILY,46000,46000,4.83,4.0,16.0,123.0,0.0,1.0,140.0,8.8983,0.2966,40.0625,634.5714285714286,0.9523057142857143
11358,2023-04-18,Written off,2023-11-20 23:07:47.173,20000.0,30387.21,18548.44,0.2999,48,1978-01-08,MALE,ON,RENTER,88000,88000,4.0,4.0,2.0,8.0,0.0,0.0,10.0,0.6276,0.0209,47.333333333333336,567.2,0.8451428571428572
11392,2023-04-26,Active,,7800.0,11114.53,6731.22,0.2999,60,1977-10-17,MALE,AB,RENTER,55000,55800,1.0,5.0,14.0,126.0,5.0,5.0,150.0,9.5745,0.3191,43.0,587.5714285714286,0.7526196278807191
11438,2023-04-25,Past due,,12100.0,17690.46,10663.58,0.2999,49,1959-01-31,FEMALE,MB,RENTER,53420,53400,3.0,4.0,15.0,115.0,7.0,2.0,139.0,8.8535,0.2951,52.375,597.3333333333334,1.0263333333333333
11497,2023-04-27,Written off,2024-03-09 22:45:44.650,8600.0,14189.54,8016.19,0.2999,60,1969-12-17,MALE,PEI,RENTER,70860,71000,3.17,5.0,8.0,77.0,1.0,0.0,86.0,5.5011,0.1834,32.77777777777778,533.8888888888889,1.0405667731106198
11556,2023-05-03,Repaid,2024-05-14 09:51:01.190,4590.0,0.0,0.0,0.2999,57,1998-04-23,MALE,AB,RENTER,60000,60000,2.83,4.0,3.0,13.0,0.0,0.0,16.0,1.0367,0.0346,35.333333333333336,639.4545454545455,0.6419435736677116
11565,2023-04-28,Active,,22300.0,34064.64,19883.91,0.2999,56,1995-07-11,MALE,AB,HOME OWNER,68000,68000,4.0,4.0,10.0,89.0,0.0,0.0,99.0,6.3462,0.2115,42.875,682.9230769230769,0.411628870336426
11681,2023-06-15,Active,,15300.0,22385.1,13510.61,0.2799,60,1984-09-03,FEMALE,ON,LIVE WITH FAMILY,68406,68400,4.33,5.0,4.0,20.0,2.0,0.0,26.0,1.8571,0.0619,43.75,564.3333333333334,0.9020717849821986
11706,2023-05-08,Repaid,2023-11-25 00:00:00.000,20000.0,0.0,0.0,0.2999,60,1984-10-12,FEMALE,BC,RENTER,68104,54300,4.17,4.0,3.0,32.0,2.0,3.0,40.0,2.6201,0.0873,52.5,620.8333333333334,0.7635006466730144
11711,2023-05-09,Active,,20000.0,26780.5,16975.14,0.2699,60,1992-09-01,FEMALE,MB,RENTER,64230,64300,4.17,3.0,15.0,122.0,25.0,11.0,173.0,11.3567,0.3786,42.0,659.6,0.7497098370046348
11747,2023-05-12,Active,,10039.24,8439.75,6770.07,0.2599,36,1969-11-24,MALE,AB,HOME OWNER,90000,84800,4.83,2.0,8.0,56.0,0.0,0.0,64.0,4.2291,0.141,71.625,666.5714285714286,0.21684462371542648
11776,2023-05-12,Repaid,2023-08-04 23:15:05.807,13000.0,0.0,0.0,0.2499,60,1974-09-13,MALE,ON,LIVE WITH FAMILY,54200,54200,3.83,4.0,3.0,19.0,21.0,10.0,53.0,3.5022,0.1167,43.333333333333336,735.6666666666666,0.024354166666666666
11779,2023-05-10,Written off,2024-04-01 20:32:43.660,7590.0,7829.26,5768.84,0.2999,26,1963-10-08,MALE,BC,RENTER,700000,62200,4.33,2.0,4.0,10.0,0.0,0.0,14.0,0.9211,0.0307,64.5,621.3333333333334,0.7736571428571428
11788,2023-05-15,Active,,19000.0,28271.28,16691.46,0.2999,60,1983-04-10,MALE,AB,RENTER,54000,54000,0.0,3.0,15.0,126.0,94.0,22.0,257.0,17.0953,0.5698,23.25,591.5714285714286,0.7423056832258285
11806,2023-05-16,Written off,2024-07-25 16:00:40.367,18500.0,26580.54,16119.49,0.2899,60,1969-10-12,MALE,ON,RENTER,57000,57000,3.5,5.0,13.0,100.0,12.0,1.0,126.0,8.4,0.28,44.285714285714285,584.3846153846154,0.9167452422996507
11807,2023-05-15,Active,,20000.0,28015.91,17333.85,0.2799,60,1985-03-25,FEMALE,NFLD,LIVE WITH FAMILY,50595,55600,3.5,3.0,13.0,122.0,1.0,4.0,140.0,9.3126,0.3104,46.0,629.2142857142857,1.0812077922077923
11812,2023-05-18,Active,,21000.0,34285.95,19841.43,0.2999,54,1983-05-17,FEMALE,ON,LIVE WITH FAMILY,78750,78800,3.17,2.0,15.0,123.0,2.0,1.0,141.0,9.442,0.3147,43.5,601.7142857142857,1.0020862921584972
11872,2023-05-19,Active,,13200.0,19679.26,11751.23,0.2999,54,1979-06-21,FEMALE,AB,RENTER,93600,93600,4.67,3.0,15.0,123.0,5.0,0.0,143.0,9.5973,0.3199,53.5,619.0714285714286,0.5525633313026703
11920,2023-05-24,Repaid,2023-06-22 11:33:20.640,13500.0,0.0,0.0,0.2599,60,1980-12-14,FEMALE,AB,LIVE WITH FAMILY,75000,75000,,,,,,,,,,,,
12007,2023-05-29,Active,,21600.0,19293.75,15029.53,0.2899,36,1961-03-18,MALE,ON,RENTER,89000,88000,3.0,4.0,5.0,39.0,13.0,0.0,57.0,3.913,0.1304,66.0,662.9285714285714,0.7185636008951839
12020,2023-06-07,Active,,15000.0,21381.46,13028.06,0.2799,60,1967-02-27,MALE,ON,RENTER,79935,80000,,,1.0,0.0,0.0,0.0,1.0,0.0701,0.0023,,670.6666666666666,0.9332414965986394
12031,2023-06-05,Written off,2024-07-12 09:47:45.190,17550.0,26422.27,15837.06,0.2799,48,1990-01-28,MALE,ON,LIVE WITH FAMILY,33150,33200,3.5,3.0,11.0,98.0,9.0,5.0,123.0,8.5814,0.286,61.27272727272727,560.5833333333334,0.8296493194400599
12082,2023-05-31,Active,,14500.0,19042.06,12348.67,0.2499,60,1990-05-21,MALE,ON,HOME OWNER,99192,88200,3.5,4.0,1.0,1.0,0.0,0.0,2.0,0.1379,0.0046,57.0,586.5384615384615,0.7040334870962214
12088,2023-05-31,Active,,14200.0,22474.95,13295.81,0.2999,50,1972-02-21,FEMALE,AB,HOME OWNER,57200,57200,2.83,5.0,15.0,114.0,13.0,2.0,144.0,9.931,0.331,49.333333333333336,646.2307692307693,0.913353161595738
12095,2023-06-05,Repaid,2023-08-04 18:31:11.857,20100.0,0.0,0.0,0.2499,60,1980-04-06,MALE,ON,LIVE WITH FAMILY,119329,74300,5.0,4.0,3.0,19.0,5.0,8.0,35.0,2.4419,0.0814,64.0,691.8333333333334,0.42335257375514895
12106,2023-06-08,Active,,19800.0,24178.3,15799.68,0.2999,43,1985-07-04,FEMALE,AB,RENTER,80000,75000,3.67,1.0,12.0,106.0,0.0,0.0,118.0,8.2904,0.2763,63.666666666666664,610.9166666666666,0.625220069029961
12112,2023-06-09,Active,,24000.0,35850.0,21407.42,0.2999,48,1977-01-18,MALE,ON,RENTER,109050,109000,0.0,3.0,14.0,113.0,0.0,0.0,127.0,8.9437,0.2981,49.5,633.75,0.9472467391304348
12121,2023-06-12,Active,,13900.0,20465.47,12220.89,0.2999,60,1991-05-05,MALE,ON,LIVE WITH FAMILY,66000,66000,3.67,4.0,14.0,90.0,0.0,0.0,104.0,7.3759,0.2459,50.857142857142854,609.0833333333334,0.9289356937699512
12186,2023-06-12,Repaid,2024-07-05 12:54:37.157,12300.0,0.0,0.0,0.2999,60,1994-02-25,FEMALE,ON,RENTER,76916,77000,0.83,3.0,13.0,107.0,1.0,0.0,121.0,8.5816,0.2861,48.92857142857143,665.8181818181819,0.571525974025974
12210,2023-06-21,Written off,2024-03-31 08:21:26.273,15875.0,25221.13,14681.45,0.2799,60,1979-07-18,MALE,BC,LIVE WITH FAMILY,69888,69900,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0725,0.0024,,622.4285714285714,0.9883840749414521
12263,2023-06-12,Active,,14600.0,21356.48,12752.92,0.2999,60,1986-12-30,FEMALE,BC,RENTER,54880,54900,3.17,4.0,12.0,114.0,28.0,3.0,157.0,11.1348,0.3712,35.46153846153846,584.1666666666666,0.6299841900966874
12279,2023-06-15,Active,,9100.0,13314.16,8035.72,0.2799,60,1984-06-11,FEMALE,ON,RENTER,48000,47900,3.83,5.0,2.0,7.0,0.0,0.0,9.0,0.6429,0.0214,38.0,672.5833333333334,0.6416053921568627
12318,2023-06-15,Active,,12500.0,17582.1,10829.88,0.2799,60,1971-08-02,MALE,ON,RENTER,66500,66500,3.0,5.0,14.0,113.0,1.0,0.0,128.0,9.1429,0.3048,60.93333333333333,622.3333333333334,0.7275889453490761
12325,2023-06-21,Active,,9600.0,13533.64,8336.45,0.2799,60,1989-08-26,MALE,ON,RENTER,72000,72000,2.67,2.0,10.0,62.0,3.0,1.0,76.0,5.5072,0.1836,47.63636363636363,631.5833333333334,0.7110613252676766
12429,2023-07-05,Active,,5900.0,8020.06,5138.51,0.2499,60,1983-10-28,MALE,ON,RENTER,50000,50000,3.0,2.0,13.0,100.0,0.0,0.0,113.0,8.475,0.2825,29.53846153846154,641.8333333333334,0.21901294761418677
12593,2023-06-23,Active,,6151.7,8973.39,5297.98,0.2999,60,1988-02-25,MALE,AB,LIVE WITH FAMILY,39000,39000,5.0,3.0,14.0,119.0,0.0,0.0,133.0,9.6845,0.3228,36.0,576.5,0.7893334478405762
12873,2023-06-26,Written off,2024-07-01 22:38:37.583,19183.18,31668.56,18138.02,0.2999,57,1983-08-31,MALE,ON,RENTER,60000,53000,0.0,3.0,1.0,1.0,0.0,0.0,2.0,0.1467,0.0049,59.0,598.4545454545455,0.9562963319071198
13031,2023-07-12,Active,,15500.0,23500.71,13838.3,0.2999,60,1980-10-28,MALE,ON,RENTER,80000,80000,4.33,3.0,13.0,104.0,0.0,0.0,117.0,8.9313,0.2977,56.30769230769231,658.6153846153846,0.7883010016056274
13141,2023-07-14,Active,,20000.0,30208.57,17657.19,0.2999,60,1994-06-24,MALE,ON,RENTER,97000,97000,4.0,2.0,2.0,3.0,0.0,0.0,5.0,0.3836,0.0128,56.0,623.2307692307693,0.3585421147373146
13170,2023-07-21,Active,,12000.0,18556.29,10738.54,0.2999,60,1996-04-20,MALE,BC,RENTER,80000,55000,4.17,4.0,8.0,26.0,2.0,0.0,36.0,2.8125,0.0938,68.66666666666667,653.3846153846154,0.37577743795850843
13178,2023-07-25,Active,,6000.0,9300.44,5382.2,0.2999,60,1986-08-06,MALE,AB,RENTER,100000,67000,4.67,2.0,2.0,38.0,1.0,1.0,42.0,3.3158,0.1105,69.33333333333333,648.0,0.7675961538461539
13203,2023-09-11,Active,,10700.0,15937.95,9678.16,0.2699,60,1974-08-31,MALE,ON,LIVE WITH FAMILY,82000,82000,4.33,5.0,11.0,86.0,8.0,1.0,106.0,9.5783,0.3193,61.72727272727273,635.3,0.5819654427437477
13356,2023-07-31,Active,,8700.0,12373.91,7643.65,0.2699,60,1990-06-19,MALE,NFLD,RENTER,90000,85900,4.17,2.0,10.0,62.0,3.0,1.0,76.0,6.0963,0.2032,30.9,635.3846153846154,0.29358773535218047
13385,2023-07-19,Active,,7600.0,11485.71,6763.19,0.2999,60,2000-12-05,FEMALE,AB,RENTER,42000,42000,0.83,1.0,0.0,16.0,0.0,0.0,16.0,1.2435,0.0415,29.0,606.0769230769231,0.8601538461538462
13443,2023-08-04,Active,,9500.0,13757.81,8362.11,0.2699,60,1973-03-12,MALE,ON,RENTER,86400,82000,,,,,,,,,,,680.4166666666666,0.8753903047917132
13535,2023-07-28,Active,,9798.22,14899.88,8814.53,0.2999,52,1975-07-14,MALE,NB,RENTER,44309,43300,3.0,3.0,11.0,88.0,7.0,4.0,110.0,8.7533,0.2918,23.363636363636363,587.1538461538462,0.9947692307692308
